pixel,wavelength_nm,counts
0,340.000000000,7373.000000000
1,341.777003484,8370.000000000
2,343.554006969,10239.000000000
3,345.331010453,10277.000000000
4,347.108013937,10710.000000000
5,348.885017422,9929.000000000
6,350.662020906,8102.000000000
7,352.439024390,11571.000000000
8,354.216027875,9901.000000000
9,355.993031359,9828.000000000
10,357.770034843,11446.000000000
11,359.547038328,11721.000000000
12,361.324041812,12268.000000000
13,363.101045296,12918.000000000
14,364.878048780,11483.000000000
15,366.655052265,10621.000000000
16,368.432055749,10148.000000000
17,370.209059233,12178.000000000
18,371.986062718,11969.000000000
19,373.763066202,10089.000000000
20,375.540069686,12466.000000000
21,377.317073171,12058.000000000
22,379.094076655,11419.000000000
23,380.871080139,12454.000000000
24,382.648083624,8818.000000000
25,384.425087108,11675.000000000
26,386.202090592,12320.000000000
27,387.979094077,11828.000000000
28,389.756097561,15744.000000000
29,391.533101045,15177.000000000
30,393.310104530,15460.000000000
31,395.087108014,16390.000000000
32,396.864111498,20713.000000000
33,398.641114983,23364.000000000
34,400.418118467,28884.000000000
35,402.195121951,40556.000000000
36,403.972125436,54006.000000000
37,405.749128920,65535.000000000
38,407.526132404,65535.000000000
39,409.303135889,65535.000000000
40,411.080139373,65535.000000000
41,412.857142857,65535.000000000
42,414.634146341,65535.000000000
43,416.411149826,65535.000000000
44,418.188153310,65535.000000000
45,419.965156794,65535.000000000
46,421.742160279,65535.000000000
47,423.519163763,65535.000000000
48,425.296167247,65535.000000000
49,427.073170732,65535.000000000
50,428.850174216,65535.000000000
51,430.627177700,65535.000000000
52,432.404181185,65535.000000000
53,434.181184669,65535.000000000
54,435.958188153,65535.000000000
55,437.735191638,65535.000000000
56,439.512195122,65535.000000000
57,441.289198606,65535.000000000
58,443.066202091,65535.000000000
59,444.843205575,65535.000000000
60,446.620209059,65535.000000000
61,448.397212544,65535.000000000
62,450.174216028,65535.000000000
63,451.951219512,65535.000000000
64,453.728222997,65535.000000000
65,455.505226481,65535.000000000
66,457.282229965,65535.000000000
67,459.059233449,65535.000000000
68,460.836236934,65535.000000000
69,462.613240418,65535.000000000
70,464.390243902,65535.000000000
71,466.167247387,65535.000000000
72,467.944250871,65535.000000000
73,469.721254355,65535.000000000
74,471.498257840,65535.000000000
75,473.275261324,65535.000000000
76,475.052264808,65535.000000000
77,476.829268293,65535.000000000
78,478.606271777,65535.000000000
79,480.383275261,65535.000000000
80,482.160278746,65535.000000000
81,483.937282230,65535.000000000
82,485.714285714,65535.000000000
83,487.491289199,65535.000000000
84,489.268292683,65535.000000000
85,491.045296167,65535.000000000
86,492.822299652,65535.000000000
87,494.599303136,65535.000000000
88,496.376306620,65535.000000000
89,498.153310105,65535.000000000
90,499.930313589,65535.000000000
91,501.707317073,65535.000000000
92,503.484320557,65535.000000000
93,505.261324042,65535.000000000
94,507.038327526,65535.000000000
95,508.815331010,65535.000000000
96,510.592334495,65535.000000000
97,512.369337979,65535.000000000
98,514.146341463,65535.000000000
99,515.923344948,65535.000000000
100,517.700348432,65535.000000000
101,519.477351916,65535.000000000
102,521.254355401,65535.000000000
103,523.031358885,65535.000000000
104,524.808362369,65535.000000000
105,526.585365854,65535.000000000
106,528.362369338,65535.000000000
107,530.139372822,65535.000000000
108,531.916376307,65535.000000000
109,533.693379791,65535.000000000
110,535.470383275,65535.000000000
111,537.247386760,65535.000000000
112,539.024390244,65535.000000000
113,540.801393728,65535.000000000
114,542.578397213,65535.000000000
115,544.355400697,65535.000000000
116,546.132404181,65535.000000000
117,547.909407666,65535.000000000
118,549.686411150,65535.000000000
119,551.463414634,65535.000000000
120,553.240418118,65535.000000000
121,555.017421603,65535.000000000
122,556.794425087,65535.000000000
123,558.571428571,65535.000000000
124,560.348432056,65535.000000000
125,562.125435540,65535.000000000
126,563.902439024,65535.000000000
127,565.679442509,65535.000000000
128,567.456445993,65535.000000000
129,569.233449477,65535.000000000
130,571.010452962,65535.000000000
131,572.787456446,65535.000000000
132,574.564459930,65535.000000000
133,576.341463415,65535.000000000
134,578.118466899,65535.000000000
135,579.895470383,65535.000000000
136,581.672473868,65535.000000000
137,583.449477352,65535.000000000
138,585.226480836,65535.000000000
139,587.003484321,65535.000000000
140,588.780487805,65535.000000000
141,590.557491289,65535.000000000
142,592.334494774,65535.000000000
143,594.111498258,65535.000000000
144,595.888501742,65535.000000000
145,597.665505226,65535.000000000
146,599.442508711,65535.000000000
147,601.219512195,65535.000000000
148,602.996515679,65535.000000000
149,604.773519164,65535.000000000
150,606.550522648,65535.000000000
151,608.327526132,65535.000000000
152,610.104529617,65535.000000000
153,611.881533101,65535.000000000
154,613.658536585,65535.000000000
155,615.435540070,65535.000000000
156,617.212543554,65535.000000000
157,618.989547038,65535.000000000
158,620.766550523,65535.000000000
159,622.543554007,65535.000000000
160,624.320557491,65535.000000000
161,626.097560976,65535.000000000
162,627.874564460,65535.000000000
163,629.651567944,65535.000000000
164,631.428571429,65535.000000000
165,633.205574913,65535.000000000
166,634.982578397,65535.000000000
167,636.759581882,65535.000000000
168,638.536585366,65535.000000000
169,640.313588850,65535.000000000
170,642.090592334,65535.000000000
171,643.867595819,64857.000000000
172,645.644599303,64868.000000000
173,647.421602787,60788.000000000
174,649.198606272,55551.000000000
175,650.975609756,53199.000000000
176,652.752613240,50157.000000000
177,654.529616725,47232.000000000
178,656.306620209,43353.000000000
179,658.083623693,40911.000000000
180,659.860627178,40646.000000000
181,661.637630662,37691.000000000
182,663.414634146,35459.000000000
183,665.191637631,33970.000000000
184,666.968641115,35349.000000000
185,668.745644599,33327.000000000
186,670.522648084,30719.000000000
187,672.299651568,28747.000000000
188,674.076655052,29197.000000000
189,675.853658537,28639.000000000
190,677.630662021,27762.000000000
191,679.407665505,27969.000000000
192,681.184668990,23743.000000000
193,682.961672474,25170.000000000
194,684.738675958,23519.000000000
195,686.515679443,21629.000000000
196,688.292682927,21366.000000000
197,690.069686411,18971.000000000
198,691.846689895,16205.000000000
199,693.623693380,16438.000000000
200,695.400696864,12767.000000000
201,697.177700348,12333.000000000
202,698.954703833,13618.000000000
203,700.731707317,14061.000000000
204,702.508710801,13677.000000000
205,704.285714286,11346.000000000
206,706.062717770,13835.000000000
207,707.839721254,12905.000000000
208,709.616724739,14006.000000000
209,711.393728223,14995.000000000
210,713.170731707,13435.000000000
211,714.947735192,12548.000000000
212,716.724738676,13328.000000000
213,718.501742160,11483.000000000
214,720.278745645,12320.000000000
215,722.055749129,12544.000000000
216,723.832752613,11392.000000000
217,725.609756098,10249.000000000
218,727.386759582,9504.000000000
219,729.163763066,8511.000000000
220,730.940766551,9321.000000000
221,732.717770035,7405.000000000
222,734.494773519,6400.000000000
223,736.271777003,8722.000000000
224,738.048780488,7167.000000000
225,739.825783972,8365.000000000
226,741.602787456,7570.000000000
227,743.379790941,8027.000000000
228,745.156794425,7885.000000000
229,746.933797909,6180.000000000
230,748.710801394,5458.000000000
231,750.487804878,7419.000000000
232,752.264808362,4717.000000000
233,754.041811847,7570.000000000
234,755.818815331,4946.000000000
235,757.595818815,4077.000000000
236,759.372822300,4516.000000000
237,761.149825784,4018.000000000
238,762.926829268,4477.000000000
239,764.703832753,5888.000000000
240,766.480836237,5182.000000000
241,768.257839721,3545.000000000
242,770.034843206,3305.000000000
243,771.811846690,4221.000000000
244,773.588850174,2944.000000000
245,775.365853659,2249.000000000
246,777.142857143,2061.000000000
247,778.919860627,4278.000000000
248,780.696864111,2715.000000000
249,782.473867596,1917.000000000
250,784.250871080,2214.000000000
251,786.027874564,3282.000000000
252,787.804878049,3547.000000000
253,789.581881533,5376.000000000
254,791.358885017,3574.000000000
255,793.135888502,3835.000000000
256,794.912891986,4205.000000000
257,796.689895470,7968.000000000
258,798.466898955,5170.000000000
259,800.243902439,4315.000000000
260,802.020905923,4909.000000000
261,803.797909408,4670.000000000
262,805.574912892,4754.000000000
263,807.351916376,5353.000000000
264,809.128919861,3757.000000000
265,810.905923345,3611.000000000
266,812.682926829,2761.000000000
267,814.459930314,2994.000000000
268,816.236933798,2568.000000000
269,818.013937282,2671.000000000
270,819.790940767,1974.000000000
271,821.567944251,3355.000000000
272,823.344947735,3305.000000000
273,825.121951220,3766.000000000
274,826.898954704,3474.000000000
275,828.675958188,3392.000000000
276,830.452961672,5284.000000000
277,832.229965157,3702.000000000
278,834.006968641,2843.000000000
279,835.783972125,4617.000000000
280,837.560975610,2989.000000000
281,839.337979094,2194.000000000
282,841.114982578,1737.000000000
283,842.891986063,1837.000000000
284,844.668989547,3702.000000000
285,846.445993031,3702.000000000
286,848.222996516,3702.000000000
287,850.000000000,3702.000000000
